route_id,service_id,trip_id,direction_id,trip_headsign
1,4-TR1,848338,0,Mosson
1,4-TR1,848340,0,Mosson
1,4-TR1,848341,0,Mosson
1,4-TR1,848342,0,Mosson
1,4-TR1,848343,0,Mosson
1,4-TR1,848346,0,Mosson
1,4-TR1,848347,0,Mosson
1,4-TR1,848349,0,Mosson
1,4-TR1,848356,0,Mosson
1,4-TR1,848357,0,Mosson
1,4-TR1,848358,0,Mosson
1,4-TR1,848359,0,Mosson
1,4-TR1,848360,0,Mosson
1,4-TR1,848361,0,Mosson
1,4-TR1,848362,0,Mosson
1,4-TR1,848363,0,Mosson
1,4-TR1,848364,0,Mosson
1,4-TR1,848365,0,Mosson
1,4-TR1,848385,0,Mosson
1,4-TR1,848386,0,Mosson
1,4-TR1,848387,0,Mosson
1,4-TR1,848388,0,Mosson
1,4-TR1,848389,0,Mosson
1,4-TR1,848390,0,Mosson
1,4-TR1,848391,0,Mosson
1,4-TR1,848410,0,Mosson
1,4-TR1,848411,0,Mosson
1,4-TR1,848412,0,Mosson
1,4-TR1,848413,0,Mosson
1,4-TR1,848414,0,Mosson
1,4-TR1,848415,0,Mosson
1,4-TR1,848416,0,Mosson
1,4-TR1,848417,0,Mosson
1,4-TR1,848418,0,Mosson
1,4-TR1,848419,0,Mosson
1,4-TR1,848420,0,Mosson
1,4-TR1,848421,0,Mosson
1,4-TR1,848422,0,Mosson
1,4-TR1,848423,0,Mosson
1,4-TR1,848424,0,Mosson
1,4-TR1,848425,0,Mosson
1,4-TR1,848426,0,Mosson
1,4-TR1,848427,0,Mosson
1,4-TR1,848428,0,Mosson
1,4-TR1,848429,0,Mosson
1,4-TR1,848430,0,Mosson
1,4-TR1,848431,0,Mosson
1,4-TR1,848432,0,Mosson
1,4-TR1,848433,0,Mosson
1,4-TR1,848434,0,Mosson
1,4-TR1,848436,0,Mosson
1,4-TR1,848437,0,Mosson
1,4-TR1,848438,0,Mosson
1,4-TR1,848439,0,Mosson
1,4-TR1,848440,0,Mosson
1,4-TR1,848441,0,Mosson
1,4-TR1,848442,0,Mosson
1,4-TR1,848443,0,Mosson
1,4-TR1,848444,0,Mosson
1,4-TR1,848445,0,Mosson
1,4-TR1,848446,0,Mosson
1,4-TR1,848447,0,Mosson
1,4-TR1,848448,0,Mosson
1,4-TR1,848449,0,Mosson
1,4-TR1,848450,0,Mosson
1,4-TR1,848451,0,Mosson
1,4-TR1,848452,0,Mosson
1,4-TR1,848453,0,Mosson
1,4-TR1,848454,0,Mosson
1,4-TR1,848455,0,Mosson
1,4-TR1,848456,0,Mosson
1,4-TR1,848457,0,Mosson
1,4-TR1,848458,0,Mosson
1,4-TR1,848459,0,Mosson
1,4-TR1,848460,0,Mosson
1,4-TR1,848461,0,Mosson
1,4-TR1,848462,0,Mosson
1,4-TR1,848463,0,Mosson
1,4-TR1,848464,0,Mosson
1,4-TR1,848465,0,Mosson
1,4-TR1,848466,0,Mosson
1,4-TR1,848467,0,Mosson
1,4-TR1,848468,0,Mosson
1,4-TR1,848469,0,Mosson
1,4-TR1,848470,0,Mosson
1,4-TR1,848471,0,Mosson
1,4-TR1,848472,0,Mosson
1,4-TR1,848473,0,Mosson
1,4-TR1,848474,0,Mosson
1,4-TR1,848475,0,Mosson
1,4-TR1,848476,0,Mosson
1,4-TR1,848477,0,Mosson
1,4-TR1,848478,0,Mosson
1,4-TR1,848479,0,Mosson
1,4-TR1,848480,0,Mosson
1,4-TR1,848481,0,Mosson
1,4-TR1,848482,0,Mosson
1,4-TR1,848483,0,Mosson
1,4-TR1,848484,0,Mosson
1,4-TR1,848485,0,Mosson
1,4-TR1,848486,0,Mosson
1,4-TR1,848487,0,Mosson
1,4-TR1,848488,0,Mosson
1,4-TR1,848489,0,Mosson
1,4-TR1,848490,0,Mosson
1,4-TR1,848491,0,Mosson
1,4-TR1,848492,0,Mosson
1,4-TR1,848493,0,Mosson
1,4-TR1,848551,0,Mosson
1,4-TR1,848552,0,Mosson
1,4-TR1,848554,0,Mosson
1,4-TR1,848555,0,Mosson
1,4-TR1,848561,0,Mosson
1,4-TR1,848562,0,Mosson
1,4-TR1,848563,0,Mosson
1,4-TR1,848564,0,Mosson
1,4-TR1,848567,0,Mosson
1,4-TR1,848569,0,Mosson
1,4-TR1,848570,0,Mosson
1,4-TR1,848571,0,Mosson
1,4-TR1,848576,0,Mosson
1,4-TR1,848577,0,Mosson
1,4-TR1,848578,0,Mosson
1,4-TR1,848579,0,Mosson
1,4-TR1,848582,0,Mosson
1,4-TR1,848583,0,Mosson
1,4-TR1,848587,0,Mosson
1,4-TR1,848588,0,Mosson
1,4-TR1,848589,0,Mosson
1,4-TR1,848590,0,Mosson
1,4-TR1,848591,0,Mosson
1,4-TR1,848596,0,Mosson
1,4-TR1,848601,0,Mosson
1,4-TR1,848606,0,Mosson
1,4-TR1,848607,0,Mosson
1,4-TR1,848608,0,Mosson
1,4-TR1,848609,0,Mosson
1,4-TR1,848610,0,Mosson
1,4-TR1,848611,0,Mosson
1,4-TR1,848612,0,Mosson
1,4-TR1,848615,0,Mosson
1,4-TR1,848619,0,Mosson
1,4-TR1,848620,0,Mosson
1,4-TR1,848622,0,Mosson
1,4-TR1,848623,0,Mosson
1,4-TR1,848624,0,Mosson
1,4-TR1,848629,0,Mosson
1,4-TR1,848639,0,Mosson
1,4-TR1,848640,0,Mosson
1,4-TR1,848641,0,Mosson
1,4-TR1,848642,0,Mosson
1,4-TR1,848643,0,Mosson
1,4-TR1,848645,0,Mosson
1,4-TR1,848652,0,Mosson
1,4-TR1,848653,0,Mosson
1,4-TR1,848654,0,Mosson
1,4-TR1,848656,0,Mosson
1,4-TR1,848658,0,Mosson
1,4-TR1,848660,0,Mosson
1,4-TR1,848664,0,Mosson
1,4-TR1,848665,0,Mosson
1,4-TR1,848670,0,Mosson
1,4-TR1,848672,0,Mosson
1,4-TR1,848673,0,Mosson
1,4-TR1,848674,0,Mosson
1,4-TR1,848675,0,Mosson
1,4-TR1,848706,0,Mosson
1,4-TR1,848707,0,Mosson
1,4-TR1,848708,0,Mosson
1,4-TR1,848709,0,Mosson
1,4-TR1,848710,0,Mosson
1,4-TR1,848711,0,Mosson
1,4-TR1,848712,0,Mosson
1,4-TR1,848713,0,Mosson
1,4-TR1,848714,0,Mosson
1,4-TR1,848715,0,Mosson
1,4-TR1,848716,0,Mosson
1,4-TR1,848717,0,Mosson
1,4-TR1,848718,0,Mosson
1,4-TR1,848719,0,Mosson
1,4-TR1,848720,0,Mosson
1,4-TR1,848721,0,Mosson
1,4-TR1,848722,0,Mosson
1,4-TR1,848723,0,Mosson
1,4-TR1,848724,0,Mosson
1,4-TR1,848725,0,Mosson
1,4-TR1,848726,0,Mosson
1,4-TR1,848727,0,Mosson
1,4-TR1,848728,0,Mosson
1,4-TR1,848729,0,Mosson
1,4-TR1,848730,0,Mosson
1,4-TR1,848731,0,Mosson
1,4-TR1,848732,0,Mosson
1,4-TR1,848733,0,Mosson
1,4-TR1,848734,0,Mosson
1,4-TR1,848735,0,Mosson
1,4-TR1,848736,0,Mosson
1,4-TR1,848737,0,Mosson
1,4-TR1,848738,0,Mosson
1,4-TR1,848739,0,Mosson
1,4-TR1,848740,0,Mosson
1,4-TR1,848741,0,Mosson
1,4-TR1,848742,0,Mosson
1,4-TR1,848744,0,Mosson
1,4-TR1,848745,0,Mosson
1,4-TR1,848748,0,Mosson
1,4-TR1,848750,0,Mosson
1,4-TR1,848753,0,Mosson
1,4-TR1,848756,0,Mosson
1,4-TR1,848758,0,Mosson
1,4-TR1,848759,0,Mosson
1,4-TR1,848761,0,Mosson
1,4-TR1,848763,0,Mosson
1,2-TR1,848774,0,Mosson
1,2-TR1,848775,0,Mosson
1,2-TR1,848776,0,Mosson
1,2-TR1,848779,0,Mosson
1,2-TR1,848780,0,Mosson
1,2-TR1,848782,0,Mosson
1,2-TR1,848788,0,Mosson
1,2-TR1,848789,0,Mosson
1,2-TR1,848790,0,Mosson
1,2-TR1,848791,0,Mosson
1,2-TR1,848792,0,Mosson
1,2-TR1,848793,0,Mosson
1,2-TR1,848794,0,Mosson
1,2-TR1,848795,0,Mosson
1,2-TR1,848796,0,Mosson
1,2-TR1,848797,0,Mosson
1,2-TR1,848798,0,Mosson
1,2-TR1,848799,0,Mosson
1,2-TR1,848814,0,Mosson
1,2-TR1,848815,0,Mosson
1,2-TR1,848816,0,Mosson
1,2-TR1,848817,0,Mosson
1,2-TR1,848818,0,Mosson
1,2-TR1,848819,0,Mosson
1,2-TR1,848820,0,Mosson
1,2-TR1,848822,0,Mosson
1,2-TR1,848823,0,Mosson
1,2-TR1,848824,0,Mosson
1,2-TR1,848826,0,Mosson
1,2-TR1,848827,0,Mosson
1,2-TR1,848828,0,Mosson
1,2-TR1,848829,0,Mosson
1,2-TR1,848830,0,Mosson
1,2-TR1,848831,0,Mosson
1,2-TR1,848832,0,Mosson
1,2-TR1,848833,0,Mosson
1,2-TR1,848834,0,Mosson
1,2-TR1,848835,0,Mosson
1,2-TR1,848836,0,Mosson
1,2-TR1,848837,0,Mosson
1,2-TR1,848838,0,Mosson
1,2-TR1,848839,0,Mosson
1,2-TR1,848840,0,Mosson
1,2-TR1,848841,0,Mosson
1,2-TR1,848842,0,Mosson
1,2-TR1,848843,0,Mosson
1,2-TR1,848844,0,Mosson
1,2-TR1,848845,0,Mosson
1,2-TR1,848846,0,Mosson
1,2-TR1,848847,0,Mosson
1,2-TR1,848848,0,Mosson
1,2-TR1,848849,0,Mosson
1,2-TR1,848850,0,Mosson
1,2-TR1,848851,0,Mosson
1,2-TR1,848852,0,Mosson
1,2-TR1,848853,0,Mosson
1,2-TR1,848854,0,Mosson
1,2-TR1,848855,0,Mosson
1,2-TR1,848856,0,Mosson
1,2-TR1,848857,0,Mosson
1,2-TR1,848858,0,Mosson
1,2-TR1,848859,0,Mosson
1,2-TR1,848860,0,Mosson
1,2-TR1,848861,0,Mosson
1,2-TR1,848862,0,Mosson
1,2-TR1,848863,0,Mosson
1,2-TR1,848864,0,Mosson
1,2-TR1,848865,0,Mosson
1,2-TR1,848866,0,Mosson
1,2-TR1,848867,0,Mosson
1,2-TR1,848868,0,Mosson
1,2-TR1,848869,0,Mosson
1,2-TR1,848870,0,Mosson
1,2-TR1,848922,0,Mosson
1,2-TR1,848923,0,Mosson
1,2-TR1,848924,0,Mosson
1,2-TR1,848925,0,Mosson
1,2-TR1,848926,0,Mosson
1,2-TR1,848927,0,Mosson
1,2-TR1,848928,0,Mosson
1,2-TR1,848929,0,Mosson
1,2-TR1,848930,0,Mosson
1,2-TR1,848931,0,Mosson
1,2-TR1,848932,0,Mosson
1,2-TR1,848933,0,Mosson
