stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding 
1133,41107,Hauts de Massane,43.6363704329782,3.82277145576433,0,55490,1
1134,41109,Euromédecine,43.6389727270998,3.82769143492461,0,55453,1
1135,41111,Malbosc,43.6345906749945,3.8331962785179,0,55544,1
1136,41113,Château d'Ô,43.6314418794986,3.84308928447609,0,55409,1
1137,41115,Occitanie,43.6346302977529,3.84845850910512,0,55571,1
1138,41117,Hôpital Lapeyronie,43.6316510467744,3.85257532406546,0,55496,1
1139,41119,Universités Sciences et Lettres,43.6291244626956,3.8615675881189,0,55665,1
1140,41121,Saint-Éloi,43.6269896171141,3.86569356800668,0,55637,1
1141,41123,Boutonnet,43.6225867509347,3.8680877655281,0,55393,1
1142,41125,Stade Philippidès,43.618989362045,3.8694638115266,0,55660,1
1143,41127,Place Albert 1er,43.6164493475913,3.87424603509102,0,55603,1
1144,41129,Louis Blanc,43.6147460835895,3.87833279432343,0,55532,1
1145,41131,Corum,43.6142538878797,3.88195716825633,0,55431,1
1146,41133,Comédie,43.6083711439975,3.87968246864816,0,55426,1
1147,41135,Gare Saint-Roch,43.6057394168241,3.8801557150493,0,55472,1
1148,41138,Du Guesclin,43.6071156106586,3.88324864623093,0,55441,1
1149,41139,Antigone,43.6085859594197,3.88666594937517,0,55378,1
1150,41141,Léon Blum,43.6089133592868,3.89016369677972,0,55524,1
1151,41143,Place de l'Europe,43.6071866399633,3.89396427404087,0,55606,1
1152,41145,Rives du Lez,43.6040712861004,3.89493087057306,0,55627,1
1153,41147,Moularès (Hôtel de Ville),43.6007299548366,3.89535927969668,0,55564,1
1154,41149,Port Marianne,43.6015763562532,3.89962538372382,0,55614,1
1155,41151,Mondial 98,43.6026172384494,3.90410725317879,0,55560,1
1156,41153,Millénaire,43.6028806332787,3.91011422517616,0,55559,1
1157,41155,Odysseum,43.6041206297931,3.92062653322998,0,55572,1
1158,41161,Place de France,43.603724580047,3.91574144647471,0,55605,1
696,22136,Jacou,43.6547029283364,3.91288002848885,0,55291,1
691,22128,Romarin,43.6575127761607,3.91377486790987,0,55300,1
692,22129,Thym,43.6591524172321,3.91723783724737,0,55302,1
693,22130,Grand Rue,43.659305933294,3.91903760561673,0,55289,1
694,22131,Bel Air,43.6598640290202,3.92206214893719,0,55279,1
703,22201,Piscine,43.6605751635585,3.92629218105293,0,55297,1
704,22202,Le Pontil,43.6621879238232,3.92482631138698,0,55298,1
705,22203,Lou Pradet,43.6622564197652,3.92199238835,0,55294,1
706,22204,Hélios,43.6614662424084,3.91946900195475,0,55290,1
707,22205,Tournesol,43.6603962469962,3.91578631038341,0,55303,1
708,22206,Coeur de Ville,43.6594373458094,3.91310984076791,0,55285,1
721,22237,Jacou,43.6546939419025,3.91287978033304,0,55291,1
574,18125,Lattes Centre,43.5705033490628,3.90432699564591,0,55327,1
575,18206,Mairie,43.5684755889832,3.90406121087847,0,55335,1
577,18208,Cimetière Saint-Laurent,43.5686424644655,3.89998593668079,0,55330,1
570,18121,Saint-Pierre,43.5724932565199,3.89352597585097,0,55341,1
569,18119,Montouzères,43.5686955467274,3.88505268682093,0,55338,1
572,18123,Entreprises,43.5641941760398,3.87923181001022,0,55333,1
571,18122,Montpellieret,43.5599290567292,3.87700296047471,0,55339,1
1368,27113,Crédit Agricole,43.5588960263507,3.87631999550174,0,55821,1
567,18115,Crédit Agricole,43.5588112816511,3.87658965476744,0,55332,1
568,18118,Montpellieret,43.5598726765439,3.8771744983394,0,55339,1
876,27210,Entreprises,43.5640669630444,3.87932727430571,0,55333,1
877,27211,Manse,43.5699220814049,3.87848385822727,0,55336,1
1335,17124,Sabines,43.583789674407,3.86030846256513,0,55633,1
